224
5/31,1/2
5/31,1/3
5/31,1/6
4/31,5/6
4/31,2/3
4/31,1/2
4/31,1/3
4/31,1/6
3/31,5/6
3/31,2/3
3/31,1/2
3/31,1/3
3/31,1/6
2/31,5/6
2/31,2/3
2/31,1/2
2/31,1/3
2/31,1/6
1/31,5/6
1/31,2/3
1/31,1/2
1/31,1/3
1/31,1/6
1,5/6
1,2/3
1,1/2
1,1/3
1,1/6
30/31,1
30/31,0
29/31,1
29/31,0
28/31,1
28/31,0
27/31,1
27/31,0
26/31,1
26/31,0
25/31,1
25/31,0
24/31,1
24/31,0
23/31,1
23/31,0
22/31,1
22/31,0
21/31,1
21/31,0
20/31,1
20/31,0
19/31,1
19/31,0
18/31,1
18/31,0
17/31,1
17/31,0
16/31,1
16/31,0
15/31,1
15/31,0
14/31,1
14/31,0
13/31,1
13/31,0
12/31,1
12/31,0
11/31,1
11/31,0
10/31,1
10/31,0
9/31,1
9/31,0
8/31,1
8/31,0
7/31,1
7/31,0
6/31,1
6/31,0
5/31,1
5/31,0
4/31,1
4/31,0
3/31,1
3/31,0
2/31,1
2/31,0
1/31,1
1/31,0
0,5/6
0,2/3
0,1/2
0,1/3
0,1/6
1,1
1,0
0,1
0,0
186
4 223 214 149 219
4 219 218 148 149
4 148 147 217 218
4 217 216 146 147
4 146 145 215 216
4 215 222 213 145
4 144 212 214 149
4 148 149 144 143
4 142 143 148 147
4 146 147 142 141
4 140 141 146 145
4 145 140 211 213
4 212 210 139 144
4 144 143 138 139
4 138 137 142 143
4 142 141 136 137
4 136 135 140 141
4 140 211 209 135
4 134 208 210 139
4 138 139 134 133
4 132 133 138 137
4 136 137 132 131
4 130 131 136 135
4 135 130 207 209
4 208 206 129 134
4 134 133 128 129
4 128 127 132 133
4 132 131 126 127
4 126 125 130 131
4 130 207 205 125
4 124 204 206 129
4 128 129 124 123
4 122 123 128 127
4 126 127 122 121
4 120 121 126 125
4 125 120 203 205
4 204 202 119 124
4 124 123 118 119
4 118 117 122 123
4 122 121 116 117
4 116 115 120 121
4 120 203 201 115
4 114 200 202 119
4 118 119 114 113
4 112 113 118 117
4 116 117 112 111
4 110 111 116 115
4 115 110 199 201
4 200 198 109 114
4 114 113 108 109
4 108 107 112 113
4 112 111 106 107
4 106 105 110 111
4 110 199 197 105
4 104 196 198 109
4 108 109 104 103
4 102 103 108 107
4 106 107 102 101
4 100 101 106 105
4 105 100 195 197
4 196 194 99 104
4 104 103 98 99
4 98 97 102 103
4 102 101 96 97
4 96 95 100 101
4 100 195 193 95
4 94 192 194 99
4 98 99 94 93
4 92 93 98 97
4 96 97 92 91
4 90 91 96 95
4 95 90 191 193
4 192 190 89 94
4 94 93 88 89
4 88 87 92 93
4 92 91 86 87
4 86 85 90 91
4 90 191 189 85
4 84 188 190 89
4 88 89 84 83
4 82 83 88 87
4 86 87 82 81
4 80 81 86 85
4 85 80 187 189
4 188 186 79 84
4 84 83 78 79
4 78 77 82 83
4 82 81 76 77
4 76 75 80 81
4 80 187 185 75
4 74 184 186 79
4 78 79 74 73
4 72 73 78 77
4 76 77 72 71
4 70 71 76 75
4 75 70 183 185
4 184 182 69 74
4 74 73 68 69
4 68 67 72 73
4 72 71 66 67
4 66 65 70 71
4 70 183 181 65
4 64 180 182 69
4 68 69 64 63
4 62 63 68 67
4 66 67 62 61
4 60 61 66 65
4 65 60 179 181
4 180 178 59 64
4 64 63 58 59
4 58 57 62 63
4 62 61 56 57
4 56 55 60 61
4 60 179 177 55
4 54 176 178 59
4 58 59 54 53
4 52 53 58 57
4 56 57 52 51
4 50 51 56 55
4 55 50 175 177
4 176 174 49 54
4 54 53 48 49
4 48 47 52 53
4 52 51 46 47
4 46 45 50 51
4 50 175 173 45
4 44 172 174 49
4 48 49 44 43
4 42 43 48 47
4 46 47 42 41
4 40 41 46 45
4 45 40 171 173
4 172 170 39 44
4 44 43 38 39
4 38 37 42 43
4 42 41 36 37
4 36 35 40 41
4 40 171 169 35
4 34 168 170 39
4 38 39 34 33
4 32 33 38 37
4 36 37 32 31
4 30 31 36 35
4 35 30 167 169
4 168 166 29 34
4 34 33 28 29
4 28 27 32 33
4 32 31 26 27
4 26 25 30 31
4 30 167 165 25
4 24 164 166 29
4 28 29 24 23
4 22 23 28 27
4 26 27 22 21
4 20 21 26 25
4 25 20 163 165
4 164 162 19 24
4 24 23 18 19
4 18 17 22 23
4 22 21 16 17
4 16 15 20 21
4 20 163 161 15
4 14 160 162 19
4 18 19 14 13
4 12 13 18 17
4 16 17 12 11
4 10 11 16 15
4 15 10 159 161
4 160 158 9 14
4 14 13 8 9
4 8 7 12 13
4 12 11 6 7
4 6 5 10 11
4 10 159 157 5
4 4 156 158 9
4 8 9 4 3
4 2 3 8 7
4 6 7 2 1
4 0 1 6 5
4 5 0 155 157
4 156 221 154 4
4 4 3 153 154
4 153 152 2 3
4 2 1 151 152
4 151 150 0 1
4 0 155 220 150
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
1/31,1/6
1/31,0
1/31,1/6
1/31,0
1/31,1/6
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,0
0,0
1/31,0
1/31,0
0,1/6
0,0
0,1/6
0,0
0,1/6
1/31,0
1/31,0
0,0
0,0
